"ano","juri","juri_nombre","sexo_codigo","sexo_nombre","edad","poblacion"
2011,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1694250
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3184168
2011,"01","TOTAL DEL PAÍS","1","Varones","25-29",1585381
2011,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1598787
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3142982
2011,"01","TOTAL DEL PAÍS","1","Varones","30-34",1556663
2011,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1586319
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",2800329
2011,"01","TOTAL DEL PAÍS","1","Varones","35-39",1379507
2011,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1420822
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2396702
2011,"01","TOTAL DEL PAÍS","1","Varones","40-44",1174136
2011,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1222566
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2227234
2011,"01","TOTAL DEL PAÍS","1","Varones","45-49",1084695
2011,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1142539
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2084856
2011,"01","TOTAL DEL PAÍS","1","Varones","50-54",1008281
2011,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1076575
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1902187
2011,"01","TOTAL DEL PAÍS","1","Varones","55-59",910396
2011,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",991791
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1664823
2011,"01","TOTAL DEL PAÍS","1","Varones","60-64",782593
2011,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",882230
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1342617
2011,"01","TOTAL DEL PAÍS","1","Varones","65-69",612286
2011,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",730331
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1047618
2011,"01","TOTAL DEL PAÍS","1","Varones","70-74",453580
2011,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",594038
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",813519
2011,"01","TOTAL DEL PAÍS","1","Varones","75-79",327143
2011,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",486376
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",571682
2011,"01","TOTAL DEL PAÍS","1","Varones","80-84",204429
2011,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",367253
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",310367
2011,"01","TOTAL DEL PAÍS","1","Varones","85-89",97160
2011,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",213207
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",113834
2011,"01","TOTAL DEL PAÍS","1","Varones","90-94",30245
2011,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",83589
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",24266
2011,"01","TOTAL DEL PAÍS","1","Varones","95-99",4851
2011,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",19415
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",4645
2011,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1001
2011,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",3644
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3671011
2012,"01","TOTAL DEL PAÍS","1","Varones","0-4",1890649
2012,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1780362
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3511823
2012,"01","TOTAL DEL PAÍS","1","Varones","5-9",1801192
2012,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1710631
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3521389
2012,"01","TOTAL DEL PAÍS","1","Varones","10-14",1795551
2012,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1725838
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3574520
2012,"01","TOTAL DEL PAÍS","1","Varones","15-19",1809575
2012,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1764945
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3444594
2012,"01","TOTAL DEL PAÍS","1","Varones","20-24",1728135
2012,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1716459
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3212958
2012,"01","TOTAL DEL PAÍS","1","Varones","25-29",1600602
2012,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1612356
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3154334
2012,"01","TOTAL DEL PAÍS","1","Varones","30-34",1563298
2012,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1591036
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",2890574
2012,"01","TOTAL DEL PAÍS","1","Varones","35-39",1424979
2012,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1465595
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2457684
2012,"01","TOTAL DEL PAÍS","1","Varones","40-44",1204662
2012,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1253022
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2241583
2012,"01","TOTAL DEL PAÍS","1","Varones","45-49",1092116
2012,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1149467
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2107503
2012,"01","TOTAL DEL PAÍS","1","Varones","50-54",1019205
2012,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1088298
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1926230
2012,"01","TOTAL DEL PAÍS","1","Varones","55-59",921679
2012,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",1004551
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1697644
2012,"01","TOTAL DEL PAÍS","1","Varones","60-64",797936
2012,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",899708
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1383542
2012,"01","TOTAL DEL PAÍS","1","Varones","65-69",631151
2012,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",752391
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1069936
2012,"01","TOTAL DEL PAÍS","1","Varones","70-74",464039
2012,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",605897
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",820245
2012,"01","TOTAL DEL PAÍS","1","Varones","75-79",330001
2012,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",490244
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",575646
2012,"01","TOTAL DEL PAÍS","1","Varones","80-84",206862
2012,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",368784
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",319518
2012,"01","TOTAL DEL PAÍS","1","Varones","85-89",99878
2012,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",219640
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",121659
2012,"01","TOTAL DEL PAÍS","1","Varones","90-94",32570
2012,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",89089
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",25647
2012,"01","TOTAL DEL PAÍS","1","Varones","95-99",5240
2012,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",20407
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",5231
2012,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1071
2012,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",4160
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3712611
2013,"01","TOTAL DEL PAÍS","1","Varones","0-4",1911781
2013,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1800830
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3522721
2013,"01","TOTAL DEL PAÍS","1","Varones","5-9",1808975
2013,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1713746
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3515301
2013,"01","TOTAL DEL PAÍS","1","Varones","10-14",1794434
2013,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1720867
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3566154
2013,"01","TOTAL DEL PAÍS","1","Varones","15-19",1807807
2013,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1758347
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3489936
2013,"01","TOTAL DEL PAÍS","1","Varones","20-24",1753346
2013,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1736590
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3250983
2013,"01","TOTAL DEL PAÍS","1","Varones","25-29",1620530
2013,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1630453
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3154430
2013,"01","TOTAL DEL PAÍS","1","Varones","30-34",1564398
2013,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1590032
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",2975391
2013,"01","TOTAL DEL PAÍS","1","Varones","35-39",1467827
2013,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1507564
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2528895
2013,"01","TOTAL DEL PAÍS","1","Varones","40-44",1240281
2013,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1288614
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2259015
2013,"01","TOTAL DEL PAÍS","1","Varones","45-49",1101131
2013,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1157884
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2129572
2013,"01","TOTAL DEL PAÍS","1","Varones","50-54",1029958
2013,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1099614
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1949497
2013,"01","TOTAL DEL PAÍS","1","Varones","55-59",932661
2013,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",1016836
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1727604
2013,"01","TOTAL DEL PAÍS","1","Varones","60-64",811960
2013,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",915644
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1425598
2013,"01","TOTAL DEL PAÍS","1","Varones","65-69",650505
2013,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",775093
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1095870
2013,"01","TOTAL DEL PAÍS","1","Varones","70-74",476136
2013,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",619734
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",828910
2013,"01","TOTAL DEL PAÍS","1","Varones","75-79",333682
2013,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",495228
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",579982
2013,"01","TOTAL DEL PAÍS","1","Varones","80-84",209555
2013,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",370427
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",328030
2013,"01","TOTAL DEL PAÍS","1","Varones","85-89",102449
2013,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",225581
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",128675
2013,"01","TOTAL DEL PAÍS","1","Varones","90-94",34570
2013,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",94105
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",28245
2013,"01","TOTAL DEL PAÍS","1","Varones","95-99",5970
2013,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",22275
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",5515
2013,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1081
2013,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",4434
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3745299
2014,"01","TOTAL DEL PAÍS","1","Varones","0-4",1927925
2014,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1817374
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3541275
2014,"01","TOTAL DEL PAÍS","1","Varones","5-9",1820695
2014,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1720580
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3510972
2014,"01","TOTAL DEL PAÍS","1","Varones","10-14",1794189
2014,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1716783
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3553325
2014,"01","TOTAL DEL PAÍS","1","Varones","15-19",1803726
2014,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1749599
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3527754
2014,"01","TOTAL DEL PAÍS","1","Varones","20-24",1774923
2014,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1752831
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3294748
2014,"01","TOTAL DEL PAÍS","1","Varones","25-29",1643562
2014,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1651186
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3153561
2014,"01","TOTAL DEL PAÍS","1","Varones","30-34",1565008
2014,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1588553
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",3047087
2014,"01","TOTAL DEL PAÍS","1","Varones","35-39",1504230
2014,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1542857
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2607887
2014,"01","TOTAL DEL PAÍS","1","Varones","40-44",1279832
2014,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1328055
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2284142
2014,"01","TOTAL DEL PAÍS","1","Varones","45-49",1113955
2014,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1170187
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2150000
2014,"01","TOTAL DEL PAÍS","1","Varones","50-54",1040062
2014,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1109938
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1972274
2014,"01","TOTAL DEL PAÍS","1","Varones","55-59",943466
2014,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",1028808
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1755623
2014,"01","TOTAL DEL PAÍS","1","Varones","60-64",825113
2014,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",930510
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1466753
2014,"01","TOTAL DEL PAÍS","1","Varones","65-69",669445
2014,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",797308
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1125319
2014,"01","TOTAL DEL PAÍS","1","Varones","70-74",489752
2014,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",635567
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",840332
2014,"01","TOTAL DEL PAÍS","1","Varones","75-79",338698
2014,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",501634
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",585184
2014,"01","TOTAL DEL PAÍS","1","Varones","80-84",212432
2014,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",372752
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",335449
2014,"01","TOTAL DEL PAÍS","1","Varones","85-89",104823
2014,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",230626
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",135274
2014,"01","TOTAL DEL PAÍS","1","Varones","90-94",36398
2014,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",98876
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",31512
2014,"01","TOTAL DEL PAÍS","1","Varones","95-99",6896
2014,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",24616
2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",5730
2014,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1073
2014,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",4657
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3764736
2015,"01","TOTAL DEL PAÍS","1","Varones","0-4",1936908
2015,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1827828
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3570085
2015,"01","TOTAL DEL PAÍS","1","Varones","5-9",1837604
2015,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1732481
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3508531
2015,"01","TOTAL DEL PAÍS","1","Varones","10-14",1794948
2015,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1713583
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3539630
2015,"01","TOTAL DEL PAÍS","1","Varones","15-19",1799127
2015,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1740503
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3554811
2015,"01","TOTAL DEL PAÍS","1","Varones","20-24",1791102
2015,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1763709
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3341846
2015,"01","TOTAL DEL PAÍS","1","Varones","25-29",1668640
2015,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1673206
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3159595
2015,"01","TOTAL DEL PAÍS","1","Varones","30-34",1568993
2015,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1590602
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",3099835
2015,"01","TOTAL DEL PAÍS","1","Varones","35-39",1531313
2015,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1568522
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2692486
2015,"01","TOTAL DEL PAÍS","1","Varones","40-44",1322258
2015,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1370228
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2320378
2015,"01","TOTAL DEL PAÍS","1","Varones","45-49",1132249
2015,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1188129
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2168105
2015,"01","TOTAL DEL PAÍS","1","Varones","50-54",1049173
2015,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1118932
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1995008
2015,"01","TOTAL DEL PAÍS","1","Varones","55-59",954332
2015,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",1040676
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1782266
2015,"01","TOTAL DEL PAÍS","1","Varones","60-64",837634
2015,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",944632
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1505504
2015,"01","TOTAL DEL PAÍS","1","Varones","65-69",687330
2015,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",818174
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1158131
2015,"01","TOTAL DEL PAÍS","1","Varones","70-74",504795
2015,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",653336
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",854985
2015,"01","TOTAL DEL PAÍS","1","Varones","75-79",345283
2015,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",509702
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",591455
